,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,
,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate
2020 LGA Name,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate
,,,,,,,,,,,,,,,,,,,,,"31,347",151,4.7,,"32,252",197,4.6,," 33,457 ", 213 ,4.6,,"34,771",202,4.9
,,,,,,,,,,,,,,,,,,,,,"20,847",196,6.4,,"20,760",180,6.2,," 20,650 ", 195 ,6.2,,"20,534",157,5.7
,,,,,,,,,,,,,,,,,,,,,"6,039",48,5.2,,"6,054",64,5.3,," 6,039 ", 79 ,5.6,,"6,102",56,5.8
,,,,,,,,,,,,,,,,,,,,,"28,853",267,5.6,,"29,086",292,5.6,," 29,184 ", 285 ,5.5,,"29,197",272,5.4
,,,,,,,,,,,,,,,,,,,,,"34,569",301,5.7,,"34,863",278,5.6,," 35,181 ", 316 ,5.6,,"35,533",289,5.5
,,,,,,,,,,,,,,,,,,,,,"43,801",425,6.6,,"44,017",383,6.3,," 44,378 ", 415 ,6.3,,"44,770",404,6.1
,,,,,,,,,,,,,,,,,,,,,"3,894",39,7.3,,"3,862",46,6.3,," 3,839 ", 37 ,5.5,,"3,810",40,5.4
,,,,,,,,,,,,,,,,,,,,,"173,263","1,066",4.3,,"176,273","1,007",4.1,," 178,779 "," 1,247 ",4.1,,"180,735","1,108",4.1
,,,,,,,,,,,,,,,,,,,,,"215,686",991,5.3,,"223,347",960,5.1,," 230,297 "," 1,178 ",5.2,,"236,539","1,139",5.2
,,,,,,,,,,,,,,,,,,,,,"40,812",243,5.5,,"41,429",293,5.6,," 42,083 ", 321 ,6.0,,"42,662",293,6.2
,,,,,,,,,,,,,,,,,,,,,"241,071",786,5.7,,"255,367",752,5.7,," 270,607 ", 862 ,5.4,,"283,294",857,5.2
,,,,,,,,,,,,,,,,,,,,,"95,994",356,5.0,,"98,567",322,4.6,," 101,516 ", 475 ,4.6,,"103,125",397,4.5
,,,,,,,,,,,,,,,,,,,,,"156,869",805,5.1,,"158,171",832,4.8,," 159,474 ", 931 ,4.7,,"159,955",886,4.6
,,,,,,,,,,,,,,,,,,,,,"6,684",89,5.6,,"6,658",116,6.5,," 6,637 ", 110 ,7.1,,"6,588",86,7.3
,,,,,,,,,,,,,,,,,,,,,899,5,np,,889,0,np,, 881 ,0,np,,894,0,np
,,,,,,,,,,,,,,,,,,,,,"6,321,648","39,791",5.2,,"6,459,765","38,231",5.0,," 6,594,804 "," 43,944 ",5.1,,"6,694,884","41,093",5.0
